price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,storage_loss,avg_unitsordered_7days,avg_price_7days,unitsordered
29.29,1839,0,2,0,0.7,1.023898942,30.69,2.047797883,3,29.85714286,29.34714286,53
29.89,1828,1,2,0,0.1,1.003345601,30.09,2.006691201,0.20754717,26.85714286,29.33285714,21
29.69,1817,2,2,0,0.3,1.010104412,30.29,2.020208825,0.523809524,27.85714286,29.34714286,46
29.89,1799,3,2,0,0.1,1.003345601,30.09,2.006691201,0.391304348,31,29.81857143,60
29.89,1959,4,2,0,0.1,1.003345601,30.09,2.006691201,-2.666666667,30.57142857,29.80428571,27
29.99,1926,5,2,0,0,1,29.99,2,1.222222222,30.57142857,29.80428571,2
29.89,1858,6,2,1,0.1,1.003345601,30.09,2.006691201,34,33.42857143,29.79,25
29.69,1833,0,2,0,0.3,1.010104412,30.29,2.020208825,1,30.28571429,29.84714286,31
29.89,1817,1,2,0,0.1,1.003345601,30.09,2.006691201,0.516129032,33,29.84714286,40
29.89,1810,2,2,0,0.1,1.003345601,30.09,2.006691201,0.175,34.28571429,29.87571429,55
29.69,1784,3,2,0,0.3,1.010104412,30.29,2.020208825,0.472727273,31.71428571,29.84714286,42
29.89,1755,4,2,0,0.1,1.003345601,30.09,2.006691201,0.69047619,34.57142857,29.84714286,47
29.99,1709,5,2,0,0,1,29.99,2,0.978723404,38,29.84714286,26
29.89,1665,6,2,0,0.1,1.003345601,30.09,2.006691201,1.692307692,35.42857143,29.84714286,7
29.79,1634,0,2,0,1.2,1.040281974,30.19,2.013427325,4.428571429,39,29.86142857,56
29.89,1609,1,2,0,1.1,1.036801606,30.09,2.006691201,0.446428571,38.28571429,29.86142857,35
26.79,1573,2,2,0,4.2,1.156774916,33.19,2.23889511,1.028571429,37.57142857,29.41857143,50
28.99,1542,3,2,0,2,1.068989307,30.99,2.068989307,0.62,36.28571429,29.31857143,33
29.79,1503,4,2,0,1.2,1.040281974,30.19,2.013427325,1.181818182,32.28571429,29.30428571,19
29.99,1461,5,2,0,1,1.033344448,29.99,2,2.210526316,32,29.30428571,24
29.89,1419,6,2,0,1.1,1.036801606,30.09,2.006691201,1.75,32.85714286,29.30428571,13
28.79,1390,0,2,0,2.2,1.076415422,31.19,2.083362279,2.230769231,35.42857143,29.16142857,74
29.69,1373,1,2,0,1.3,1.043785786,30.29,2.020208825,0.22972973,38.14285714,29.13285714,54
29.79,1346,2,2,0,1.2,1.040281974,30.19,2.013427325,0.5,37.14285714,29.56142857,43
