comp_1_price,comp_2_price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,previous_stock,previous_unitsordered,storage_loss,avg_unitsordered_7days,avg_price_7days,adspend
29.99,59.98,1839,0,2,0,0.7,1.023898942,30.69,2.047797883,1854,5,3,29.85714286,29.34714286,33
29.99,59.98,1828,1,2,0,0.1,1.003345601,30.09,2.006691201,1839,53,0.20754717,26.85714286,29.33285714,25
29.99,59.98,1817,2,2,0,0.3,1.010104412,30.29,2.020208825,1828,21,0.523809524,27.85714286,29.34714286,71
29.99,59.98,1799,3,2,0,0.1,1.003345601,30.09,2.006691201,1817,46,0.391304348,31,29.81857143,51
29.99,59.98,1959,4,2,0,0.1,1.003345601,30.09,2.006691201,1799,60,-2.666666667,30.57142857,29.80428571,38
29.99,59.98,1926,5,2,0,0,1,29.99,2,1959,27,1.222222222,30.57142857,29.80428571,3
29.99,59.98,1858,6,2,1,0.1,1.003345601,30.09,2.006691201,1926,2,34,33.42857143,29.79,4
29.99,59.98,1833,0,2,0,0.3,1.010104412,30.29,2.020208825,1858,25,1,30.28571429,29.84714286,28
29.99,59.98,1817,1,2,0,0.1,1.003345601,30.09,2.006691201,1833,31,0.516129032,33,29.84714286,64
29.99,59.98,1810,2,2,0,0.1,1.003345601,30.09,2.006691201,1817,40,0.175,34.28571429,29.87571429,43
29.99,59.98,1784,3,2,0,0.3,1.010104412,30.29,2.020208825,1810,55,0.472727273,31.71428571,29.84714286,74
29.99,59.98,1755,4,2,0,0.1,1.003345601,30.09,2.006691201,1784,42,0.69047619,34.57142857,29.84714286,34
29.99,59.98,1709,5,2,0,0,1,29.99,2,1755,47,0.978723404,38,29.84714286,14
29.99,59.98,1665,6,2,0,0.1,1.003345601,30.09,2.006691201,1709,26,1.692307692,35.42857143,29.84714286,27
30.99,59.98,1634,0,2,0,1.2,1.040281974,30.19,2.013427325,1665,7,4.428571429,39,29.86142857,78
30.99,59.98,1609,1,2,0,1.1,1.036801606,30.09,2.006691201,1634,56,0.446428571,38.28571429,29.86142857,88
30.99,59.98,1573,2,2,0,4.2,1.156774916,33.19,2.23889511,1609,35,1.028571429,37.57142857,29.41857143,58
30.99,59.98,1542,3,2,0,2,1.068989307,30.99,2.068989307,1573,50,0.62,36.28571429,29.31857143,44
30.99,59.98,1503,4,2,0,1.2,1.040281974,30.19,2.013427325,1542,33,1.181818182,32.28571429,29.30428571,33
30.99,59.98,1461,5,2,0,1,1.033344448,29.99,2,1503,19,2.210526316,32,29.30428571,14
30.99,59.98,1419,6,2,0,1.1,1.036801606,30.09,2.006691201,1461,24,1.75,32.85714286,29.30428571,3
30.99,59.98,1390,0,2,0,2.2,1.076415422,31.19,2.083362279,1419,13,2.230769231,35.42857143,29.16142857,43
30.99,59.98,1373,1,2,0,1.3,1.043785786,30.29,2.020208825,1390,74,0.22972973,38.14285714,29.13285714,52
30.99,59.98,1346,2,2,0,1.2,1.040281974,30.19,2.013427325,1373,54,0.5,37.14285714,29.56142857,71
30.99,59.98,1299,3,2,0,1.4,1.047313282,30.39,2.027036161,1346,43,1.093023256,40.42857143,29.64714286,40
30.99,59.98,1252,4,2,0,1.1,1.036801606,30.09,2.006691201,1299,56,0.839285714,41.14285714,29.66142857,38
30.99,59.98,1194,5,2,0,1,1.033344448,29.99,2,1252,24,2.416666667,41.28571429,29.66142857,6
30.99,59.98,1328,6,2,0,1,1.033344448,29.99,2,1194,25,-5.36,40,29.67571429,4
30.99,59.98,1314,0,2,0,1.1,1.036801606,30.09,2.006691201,1328,4,3.5,32.71428571,29.83285714,35
30.99,59.98,1314,1,2,0,1.1,1.036801606,30.09,2.006691201,1314,23,0,30.42857143,29.86142857,60
30.99,59.98,1266,2,2,0,1.2,1.040281974,30.19,2.013427325,1314,38,1.263157895,29.57142857,29.86142857,38
30.99,59.98,1247,3,2,0,1.4,1.047313282,30.39,2.027036161,1266,37,0.513513514,25.42857143,29.86142857,62
30.99,59.98,1227,4,2,0,1.1,1.036801606,30.09,2.006691201,1247,27,0.740740741,25.85714286,29.86142857,34
30.99,59.98,1182,5,2,0,1,1.033344448,29.99,2,1227,27,1.666666667,23,29.86142857,0
