date,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price
1/1/2022,31.89,9,287,113,71,43,0,60,29.99,41.39,29.99,41.39,,26.99,32.99
1/2/2022,31.89,12,383,150,95,57,0,81,29.99,41.39,29.99,41.39,,26.99,32.99
1/3/2022,31.49,39,1228,489,308,184,0,247,29.99,41.39,29.99,41.39,,26.99,32.99
1/4/2022,29.89,35,1046,439,277,157,0,173,29.99,41.39,29.99,41.39,,26.99,32.99
1/5/2022,31.79,47,1494,589,372,224,0,309,29.99,41.39,29.99,41.39,,26.99,32.99
1/6/2022,31.79,56,1780,702,443,267,0,368,29.99,41.39,29.99,41.39,,26.99,32.99
1/7/2022,31.89,22,702,276,174,105,0,147,29.99,41.39,29.99,41.39,,26.99,32.99
1/8/2022,31.89,8,255,100,63,38,0,54,29.99,41.39,29.99,41.39,,26.99,32.99
1/9/2022,31.99,5,160,63,40,24,0,33,29.99,41.39,29.99,41.39,,26.99,32.99
1/10/2022,31.79,30,954,376,237,143,0,198,29.99,41.39,29.99,41.39,,26.99,32.99
1/11/2022,31.69,45,1426,564,356,214,0,292,29.99,41.39,29.99,41.39,,26.99,32.99
1/12/2022,31.69,36,1141,451,285,171,0,234,29.99,41.39,29.99,41.39,,26.99,32.99
1/13/2022,31.59,26,821,326,206,123,0,166,29.99,41.39,29.99,41.39,,26.99,32.99
1/14/2022,31.79,25,795,313,198,119,0,165,29.99,41.39,29.99,41.39,,26.99,32.99
1/15/2022,31.99,7,224,88,55,34,0,47,29.99,41.39,29.99,41.39,,26.99,32.99
1/16/2022,31.99,7,224,88,55,34,0,47,29.99,41.39,29.99,41.39,,26.99,32.99
1/17/2022,30.89,34,1050,426,269,158,0,197,29.99,41.39,29.99,41.39,,26.99,32.99
1/18/2022,31.89,25,797,313,198,120,0,166,29.99,41.39,29.99,41.39,,26.99,32.99
1/19/2022,31.69,32,1014,401,253,152,0,208,29.99,41.39,29.99,41.39,,26.99,32.99
1/20/2022,31.79,40,1272,501,316,191,0,264,29.99,41.39,29.99,41.39,,26.99,32.99
1/21/2022,31.69,38,1204,476,301,181,0,246,29.99,41.39,29.99,41.39,,26.99,32.99
1/22/2022,31.99,5,160,63,40,24,0,33,29.99,41.39,29.99,41.39,,26.99,32.99
1/23/2022,31.99,16,512,200,127,77,0,108,29.99,41.39,29.99,41.39,,26.99,32.99
1/24/2022,31.79,44,1399,551,348,210,0,290,29.99,41.39,29.99,41.39,,26.99,32.99
1/25/2022,31.69,36,1141,451,285,171,0,234,29.99,41.39,29.99,41.39,,26.99,32.99
1/26/2022,31.59,21,663,263,166,99,0,135,29.99,41.39,29.99,41.39,,26.99,32.99
1/27/2022,31.69,34,1077,426,269,162,0,220,29.99,41.39,29.99,41.39,,26.99,32.99
1/28/2022,31.59,56,1769,702,443,265,0,359,29.99,41.39,29.99,41.39,,26.99,32.99
1/29/2022,31.99,2,64,25,16,10,0,13,29.99,41.39,29.99,41.39,,26.99,32.99
1/30/2022,31.99,16,512,200,127,77,0,108,29.99,41.39,29.99,41.39,,26.99,32.99
1/31/2022,31.59,38,1200,476,301,180,0,243,29.99,40,29.99,40,,26.99,32.99
2/1/2022,31.79,38,1208,476,301,181,0,250,29.99,40,29.99,40,,26.99,32.99
2/2/2022,31.69,36,1141,451,285,171,0,234,29.99,40,29.99,40,,26.99,32.99
2/3/2022,31.59,20,632,251,158,95,0,128,29.99,40,29.99,40,,26.99,32.99
2/4/2022,31.79,14,445,175,111,67,0,92,29.99,40,29.99,40,,26.99,32.99
2/5/2022,31.99,7,224,88,55,34,0,47,29.99,40,29.99,40,,26.99,32.99
2/6/2022,28.39,9,256,113,71,38,0,34,29.99,40,29.99,40,,26.99,32.99
2/7/2022,31.69,28,887,351,221,133,0,182,29.99,40,29.99,40,,26.99,32.99
2/8/2022,31.79,27,858,338,214,129,0,177,29.99,40,29.99,40,,26.99,32.99
2/9/2022,31.79,29,922,363,229,138,0,192,29.99,40,29.99,40,,26.99,32.99
2/10/2022,31.39,26,816,326,206,122,0,162,29.99,40,29.99,40,,26.99,32.99
2/11/2022,31.69,18,570,226,142,86,0,116,29.99,40,29.99,40,,26.99,32.99
